S,Prob(S)
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,2
50,7
51,25
52,50
53,123
54,207
55,391
56,595
57,793
58,1043
59,1210
60,1220
61,1172
62,991
63,797
64,559
65,385
66,242
67,123
68,34
69,22
70,6
71,2
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
