S,Prob(S)
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,2
77,4
78,7
79,23
80,38
81,60
82,135
83,214
84,324
85,437
86,584
87,692
88,910
89,993
90,1049
91,1003
92,899
93,746
94,592
95,462
96,329
97,223
98,111
99,81
100,47
101,16
102,10
103,7
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
